,,Site LCOE ($/MWh),Transmission LCOE ($/MWh),Site LCOE + Trans LCOE,,Capital Cost Transmission ($/MW),,,Net Capacity Factor,Grid Feature Connection,Resource Class,Capacity (MW),Onshore Distance,Distance from Point to Grid,Area (sq.km),,,ReEDS Demand Region
gid,line_join_gid,site_lcoe,trans_lcoe,full_lcoe,subjoin,cap_cost_trans,transmission_multiplier,region_sub_cost_mult,ncf,category,re_class,capacity,onshore_dist,dist_mi,sq_km,lat,lon,demreg
1,35244,0.116158508,3.779893711,4.941478789,-999,60310.55556,1,1,0.178498968,PCALoadCen,11,5.4432,11.8078928,11.8078928,0.1701,-664789.324,-1878297.13,450
2,35236,0.115780808,1.718511797,2.876319877,-999,27509.37989,1,1,0.179081306,LoadCen,12,10.368,7.014120319,7.014120319,0.324,-664789.324,-1872537.13,450
3,35244,0.115890339,3.402729596,4.561632986,-999,54418.42721,1,1,0.178912431,PCALoadCen,11,7.5168,10.30556533,10.30556533,0.2349,-664789.324,-1875417.13,450
4,35244,0.115890339,3.402729596,4.561632986,-999,54418.42721,1,1,0.178912431,PCALoadCen,12,18.4032,10.30556533,10.30556533,0.5751,-664789.324,-1875417.13,450
5,33879,0.115780815,1.393536163,2.551344318,8716,22307.27341,1,1,0.179081291,Substation,12,3.6288,5.68772907,5.68772907,0.1134,-664789.324,-1869657.13,450
6,35244,0.1161585,3.583507739,4.745092742,-999,57177.09521,1,1,0.178498968,PCALoadCen,11,37.8432,11.00894829,11.00894829,1.1826,-667669.324,-1878297.13,450
7,35244,0.116254441,2.448519521,3.611063935,-999,39035.41663,1,1,0.178351685,PCALoadCen,12,60.912,6.383329073,6.383329073,1.9035,-667669.324,-1869657.13,450
8,35244,0.116019815,3.179173599,4.339371751,-999,50786.45474,1,1,0.178712785,PCALoadCen,11,20.9952,9.379514213,9.379514213,0.6561,-667669.324,-1875417.13,450
9,35244,0.116019815,3.179173599,4.339371751,-999,50786.45474,1,1,0.178712785,PCALoadCen,12,12.1824,9.379514213,9.379514213,0.3807,-667669.324,-1875417.13,450
10,35244,0.115130179,1.931246693,3.082548479,-999,31089.47723,1,1,0.180093333,PCALoadCen,12,92.5344,4.357337387,4.357337387,2.8917,-667669.324,-1863897.13,450
11,35244,0.115780465,2.790627793,3.948432446,-999,44671.5954,1,1,0.179081827,PCALoadCen,12,51.0624,7.820396584,7.820396584,1.5957,-667669.324,-1872537.13,450
12,35244,0.11583367,2.141760257,3.300096956,-999,34269.71253,1,1,0.179003522,PCALoadCen,12,68.4288,5.168208193,5.168208193,2.1384,-667669.324,-1866777.13,450
13,35244,0.115135074,1.893788812,3.045139549,-999,30485.17599,1,1,0.180085659,PCALoadCen,12,163.296,4.20325752,4.20325752,5.103,-667669.324,-1861017.13,450
14,33877,0.114449419,0.267094666,1.411588857,8892,4325.307571,1,1,0.181164771,Substation,12,14.7744,1.102832119,1.102832119,0.4617,-667669.324,-1855257.13,450
15,35244,0.114590235,2.022259781,3.168162132,-999,32708.11675,1,1,0.180942491,PCALoadCen,12,109.6416,4.770045066,4.770045066,3.4263,-667669.324,-1858137.13,450
16,33877,0.113992952,0.695278229,1.835207747,8892,11304.42186,1,1,0.181891203,Substation,12,0.7776,2.882310521,2.882310521,0.0243,-667669.324,-1852377.13,450
17,33877,0.113575861,1.122273009,2.258031618,8892,18313.74978,1,1,0.18255794,Substation,12,1.0368,4.669492551,4.669492551,0.0324,-667669.324,-1849497.13,450
18,33870,0.113045871,0.924615118,2.05507383,8713,15159.01939,1,1,0.183413833,Substation,12,2.0736,3.865124779,3.865124779,0.0648,-667669.324,-1846617.13,450
19,33870,0.112878039,0.894817722,2.023598117,7224,14692.38739,1,1,0.183687568,Substation,12,1.8144,3.74614671,3.74614671,0.0567,-667669.324,-1843737.13,450
20,33879,0.115702845,0.418573716,1.575602167,8716,6704.914534,1,1,0.179202169,Substation,12,39.3984,1.709565154,1.709565154,1.2312,-670549.324,-1872537.13,450
21,33879,0.116158508,0.70151114,1.863096218,8716,11193.04664,1,1,0.178498968,Substation,11,2.592,2.853912963,2.853912963,0.081,-670549.324,-1878297.13,450
22,33879,0.116005227,0.377668914,1.537721184,8716,6033.924323,1,1,0.178735405,Substation,11,19.44,1.538481469,1.538481469,0.6075,-670549.324,-1875417.13,450
23,33879,0.116005227,0.377668914,1.537721184,8716,6033.924323,1,1,0.178735405,Substation,12,10.1088,1.538481469,1.538481469,0.3159,-670549.324,-1875417.13,450
24,35236,0.115269676,0.836048892,1.98874565,-999,13443.61816,1,1,0.179889768,LoadCen,12,29.2896,3.427745578,3.427745578,0.9153,-670549.324,-1869657.13,450
25,35244,0.114969142,1.807981391,2.957672809,-999,29147.11259,1,1,0.180353075,PCALoadCen,12,151.8912,3.862088881,3.862088881,4.7466,-670549.324,-1866777.13,450
26,35244,0.114865161,1.522735654,2.671387269,-999,24570.0436,1,1,0.180510879,PCALoadCen,12,171.072,2.695064661,2.695064661,5.346,-670549.324,-1863897.13,450
27,35244,0.115099624,1.46327263,2.614268868,-999,23562.24958,1,1,0.180141374,PCALoadCen,12,158.8896,2.438105452,2.438105452,4.9653,-670549.324,-1861017.13,450
28,33876,0.11451783,0.299410755,1.444589058,8718,4845.72935,1,1,0.181056336,Substation,12,139.7088,1.235525076,1.235525076,4.3659,-670549.324,-1858137.13,450
29,33876,0.114293672,0.296589677,1.439526398,8715,4809.494779,1,1,0.181411743,Substation,12,119.232,1.226286277,1.226286277,3.726,-670549.324,-1855257.13,450
30,33876,0.114062466,0.677748915,1.818373573,8713,11012.68455,1,1,0.1817801,Substation,12,2.3328,2.807925688,2.807925688,0.0729,-670549.324,-1852377.13,450
31,33870,0.113235168,0.836273376,1.968625058,8720,13687.80921,1,1,0.183108136,Substation,12,3.6288,3.490007448,3.490007448,0.1134,-670549.324,-1849497.13,450
32,35244,0.113003112,3.189531893,4.319563016,-999,52312.10952,1,1,0.183483601,PCALoadCen,12,53.3952,9.76851339,9.76851339,1.6686,-670549.324,-1846617.13,450
33,35244,0.112465754,3.589395055,4.714052596,-999,59151.51589,1,1,0.184359953,PCALoadCen,12,41.7312,11.51237019,11.51237019,1.3041,-670549.324,-1843737.13,450
34,33870,0.112432189,0.734320875,1.858642768,7224,12104.87035,1,1,0.184414998,Substation,12,3.6288,3.086402434,3.086402434,0.1134,-670549.324,-1840857.13,450
35,35244,0.111688465,4.396510375,5.513395024,-999,72956.83268,1,1,0.185643539,PCALoadCen,12,27.216,15.03233878,15.03233878,0.8505,-670549.324,-1837977.13,450
36,35244,0.111652784,4.813168196,5.929696036,-999,79896.24572,1,1,0.185702309,PCALoadCen,12,79.056,16.80169447,16.80169447,2.4705,-670549.324,-1835097.13,450
37,35244,0.111743368,5.236378796,6.353812478,-999,86850.83452,1,1,0.185551688,PCALoadCen,12,81.3888,18.57491956,18.57491956,2.5434,-670549.324,-1832217.13,450
38,35244,0.111404926,6.05844484,7.172494096,-999,100790.9402,1,1,0.186115399,PCALoadCen,12,7.5168,22.12925553,22.12925553,0.2349,-670549.324,-1826457.13,450
39,35244,0.111406177,5.639281548,6.753343321,-999,93816.63228,1,1,0.186113566,PCALoadCen,12,30.5856,20.35100262,20.35100262,0.9558,-670549.324,-1829337.13,450
40,35244,0.111232482,6.887313719,7.999638538,-999,114758.0158,1,1,0.18640396,PCALoadCen,12,3.6288,25.69046807,25.69046807,0.1134,-670549.324,-1820697.13,450
41,35246,0.111292966,1.297999345,2.410929002,-999,21615.82976,1,1,0.186302811,LoadCen,12,1.8144,5.511430332,5.511430332,0.0567,-670549.324,-1823577.13,450
42,35244,0.111274824,7.309629276,8.422377511,-999,121748.3906,1,1,0.18633303,PCALoadCen,12,3.6288,27.4728176,27.4728176,0.1134,-670549.324,-1817817.13,450
43,33879,0.117780425,0.630865602,1.808669849,8716,9927.839538,1,1,0.176051557,Substation,11,6.48,2.531320637,2.531320637,0.2025,-673429.324,-1878297.13,450
44,33879,0.116174906,0.201147032,1.362896097,8716,3209.092194,1,1,0.178480402,Substation,11,4.1472,0.818228504,0.818228504,0.1296,-673429.324,-1875417.13,450
45,33879,0.116174906,0.201147032,1.362896097,8716,3209.092194,1,1,0.178480402,Substation,12,4.1472,0.818228504,0.818228504,0.1296,-673429.324,-1875417.13,450
46,33879,0.114256404,0.694756646,1.837320689,8716,11270.02562,1,1,0.181473896,Substation,12,26.1792,2.873540443,2.873540443,0.8181,-673429.324,-1869657.13,450
47,33879,0.115667008,0.27869481,1.435364889,8716,4465.874132,1,1,0.179266676,Substation,11,2.592,1.13867265,1.13867265,0.081,-673429.324,-1872537.13,450
48,33879,0.115667008,0.27869481,1.435364889,8716,4465.874132,1,1,0.179266676,Substation,12,19.44,1.13867265,1.13867265,0.6075,-673429.324,-1872537.13,450
49,35236,0.114268839,0.330586712,1.473275106,-999,5361.945755,1,1,0.181450844,LoadCen,12,15.2928,1.367145782,1.367145782,0.4779,-673429.324,-1866777.13,450
50,35244,0.114855081,1.202111823,2.350662631,-999,19398.29352,1,1,0.180526361,PCALoadCen,12,129.8592,1.376413443,1.376413443,4.0581,-673429.324,-1863897.13,450
51,35244,0.115047745,1.061713786,2.21219124,-999,17103.87115,1,1,0.180222467,PCALoadCen,12,104.4576,0.791400089,0.791400089,3.2643,-673429.324,-1861017.13,450
52,33876,0.114885509,0.306637143,1.455492233,8718,4946.813051,1,1,0.180477351,Substation,12,69.2064,1.261298585,1.261298585,2.1627,-673429.324,-1858137.13,450
53,33876,0.114830524,0.314738514,1.463043751,8718,5080.085954,1,1,0.180568978,Substation,12,81.9072,1.295279438,1.295279438,2.5596,-673429.324,-1855257.13,450
54,33870,0.113294333,0.697606109,1.830549442,7224,11412.13972,1,1,0.183011666,Substation,12,4.1472,2.909775554,2.909775554,0.1296,-673429.324,-1849497.13,450
55,33876,0.113809265,0.683721243,1.821813895,8713,11134.59608,1,1,0.182186991,Substation,12,13.7376,2.839009709,2.839009709,0.4293,-673429.324,-1852377.13,450
56,35244,0.112912528,3.120993987,4.250119269,-999,51229.2242,1,1,0.183631346,PCALoadCen,12,174.1824,9.492408006,9.492408006,5.4432,-673429.324,-1846617.13,450
57,35244,0.1124577,3.533610799,4.6581878,-999,58236.37402,1,1,0.184373111,PCALoadCen,12,83.4624,11.27903468,11.27903468,2.6082,-673429.324,-1843737.13,450
58,33870,0.112339504,0.578592123,1.701987163,7231,9545.634933,1,1,0.184567094,Substation,12,26.4384,2.433869182,2.433869182,0.8262,-673429.324,-1840857.13,450
59,35244,0.111823626,4.359702936,5.477939194,-999,72258.95226,1,1,0.185420066,PCALoadCen,12,36.5472,14.85439884,14.85439884,1.1421,-673429.324,-1837977.13,450
60,35244,0.111681886,4.776843562,5.893662422,-999,79272.60221,1,1,0.185653895,PCALoadCen,12,57.024,16.64268287,16.64268287,1.782,-673429.324,-1835097.13,450
61,35244,0.111696228,5.200191852,6.317154136,-999,86287.21525,1,1,0.185630381,PCALoadCen,12,30.8448,18.43121246,18.43121246,0.9639,-673429.324,-1832217.13,450
62,35244,0.111268379,5.60143965,6.714123438,-999,93302.53582,1,1,0.186344147,PCALoadCen,12,38.3616,20.21992244,20.21992244,1.1988,-673429.324,-1829337.13,450
63,35244,0.111395411,6.029523373,7.143477484,-999,100318.3914,1,1,0.186131358,PCALoadCen,12,23.8464,22.00876885,22.00876885,0.7452,-673429.324,-1826457.13,450
64,35244,0.111274816,7.286797664,8.399545825,-999,121368.1195,1,1,0.186333045,PCALoadCen,12,82.4256,27.37585912,27.37585912,2.5758,-673429.324,-1817817.13,450
65,35244,0.111230396,6.862772881,7.975076838,-999,114351.2588,1,1,0.186407462,PCALoadCen,12,64.5408,25.58675645,25.58675645,2.0169,-673429.324,-1820697.13,450
66,35244,0.111358963,6.449116161,7.56270579,-999,107334.6614,1,1,0.186192319,PCALoadCen,12,58.5792,23.7977209,23.7977209,1.8306,-673429.324,-1823577.13,450
67,35244,0.110967085,7.686774349,8.796445197,-999,128385.195,1,1,0.186849862,PCALoadCen,12,124.6752,29.16501656,29.16501656,3.8961,-673429.324,-1814937.13,450
68,35244,0.111270547,8.129074427,9.241779896,-999,135402.448,1,1,0.186340556,PCALoadCen,12,132.192,30.95421928,30.95421928,4.131,-673429.324,-1812057.13,450
69,35244,0.111137182,8.540106045,9.651477861,-999,142419.8495,1,1,0.186564595,PCALoadCen,12,153.9648,32.74345984,32.74345984,4.8114,-673429.324,-1809177.13,450
70,35244,0.11089386,8.941326388,10.05026499,-999,149437.3764,1,1,0.186973155,PCALoadCen,12,104.1984,34.53273238,34.53273238,3.2562,-673429.324,-1806297.13,450
71,35244,0.110925324,9.363868822,10.47312206,-999,156455.0101,1,1,0.186920151,PCALoadCen,12,80.0928,36.32203216,36.32203216,2.5029,-673429.324,-1803417.13,450
72,35244,0.109997101,9.70200672,10.80197773,-999,163472.7356,1,1,0.188497558,PCALoadCen,12,61.1712,38.11135534,38.11135534,1.9116,-673429.324,-1800537.13,450
73,35244,0.109467089,10.06972337,11.16439426,-999,170490.5406,1,1,0.189410791,PCALoadCen,12,17.3664,39.90069878,39.90069878,0.5427,-673429.324,-1797657.13,452
74,35244,0.109392166,10.47708132,11.57100298,-999,177508.4148,1,1,0.18953988,PCALoadCen,12,26.6976,41.69005987,41.69005987,0.8343,-673429.324,-1794777.13,452
75,37644,0.109398924,10.54328952,11.63727876,-999,178619.1541,1,1,0.189528212,PCALoadCen,12,17.3664,41.97326723,41.97326723,0.5427,-673429.324,-1791897.13,452
76,33879,0.118292607,0.833064418,2.015990492,8716,13052.2608,1,1,0.175278693,Substation,11,6.7392,3.32796043,3.32796043,0.2106,-676309.324,-1878297.13,450
77,33879,0.117416762,0.574021063,1.748188682,8716,9060.782909,1,1,0.176587462,Substation,11,13.2192,2.310245515,2.310245515,0.4131,-676309.324,-1875417.13,450
78,35244,0.115941562,2.089893969,3.249309587,-999,33408.37254,1,1,0.178835213,PCALoadCen,12,28.2528,4.948590654,4.948590654,0.8829,-676309.324,-1869657.13,450
79,35236,0.11455556,0.609702865,1.755258465,-999,9864.319717,1,1,0.180996791,LoadCen,12,24.3648,2.515124864,2.515124864,0.7614,-676309.324,-1866777.13,450
80,35236,0.114567429,0.531082013,1.676756302,-999,8591.488478,1,1,0.180979252,LoadCen,12,17.3664,2.190588597,2.190588597,0.5427,-676309.324,-1863897.13,450
81,33879,0.116867915,0.605970664,1.774649812,8716,9610.196209,1,1,0.17742002,Substation,11,17.3664,2.450330497,2.450330497,0.5427,-676309.324,-1872537.13,450
82,33879,0.116867915,0.605970664,1.774649812,8716,9610.196209,1,1,0.17742002,Substation,12,9.3312,2.450330497,2.450330497,0.2916,-676309.324,-1872537.13,450
